gene	study	logAmp	phi	mesor
ENSMUSG00000075514	Atger15_AdLib	-0.5324066030605494	0.14136966907470971	-0.3137266946594337
ENSMUSG00000075514	Atger15_NightFeed	-0.15112484113615557	0.04268086890135724	-0.2614751572432774
ENSMUSG00000075514	Benegiamo18	-1.641689097147086	0.44704462353952373	-1.777376272226691
ENSMUSG00000075514	Cajan16	1.17759632050392	-0.31330913010820605	0.7405896221275798
ENSMUSG00000075514	Chaix19_AdLib_HFD	0.21370341537158583	-0.04928219027687724	-0.40317384093888164
ENSMUSG00000075514	Chaix19_NightFeed_HFD	2.064372998946796	-0.5008343123478054	-2.1409942923008556
ENSMUSG00000075514	Chen19	0.1256187611904698	-0.006882772115192632	-1.8124713520043119
ENSMUSG00000075514	Du14	-0.4874144598468551	0.14782280917488202	-1.6021918110548528
ENSMUSG00000075514	Fader19	0.10367791000664568	-0.02923464686417418	0.1855957978325242
ENSMUSG00000075514	Gaucher19_Chronic_Cntrl	-0.2688825693340412	0.06478689999487831	0.3087908675355242
ENSMUSG00000075514	Guan20_Liver	-0.3594881803932095	0.08188670467640125	0.7546215999919998
ENSMUSG00000075514	Hidalgo19	0.2245232207204083	-0.06017705722635773	0.17134205722286866
ENSMUSG00000075514	Hirako18	0.31287200298759843	-0.08454603877228486	0.29040735622974984
ENSMUSG00000075514	Kinouchi18_Liver	-0.042847488849140046	0.00805201267243623	0.21597650228533793
ENSMUSG00000075514	Koronowski19_F	-0.8032081126528591	0.21050097261620176	-0.2811071610504477
ENSMUSG00000075514	Lahens15	-0.06619146083671112	-0.0031026698936168287	1.4315401046002076
ENSMUSG00000075514	Levine20	-0.07412972162008737	0.024705505122277125	-0.39548044604766347
ENSMUSG00000075514	Li19_Old	-1.0962949210369766	0.28833094630272077	-0.46081045205218796
ENSMUSG00000075514	Li19_Young	-0.14199507079485638	0.04427737171368641	-0.5539870787729784
ENSMUSG00000075514	Menet12	0.595852174535561	-0.14861168427235202	-0.3348802668834976
ENSMUSG00000075514	Mermet18	-0.19300308735364965	0.04497194311541096	0.33145919721912676
ENSMUSG00000075514	Morton20_Liver	0.08134841774368681	-0.03351923923656717	0.9177579800831656
ENSMUSG00000075514	Pan19	-0.3891699760281663	0.08859016025051765	0.8210319478361389
ENSMUSG00000075514	Quagliarini19_HFD	-0.3875779523362141	0.08736223228396406	0.8810841008348506
ENSMUSG00000075514	Quagliarini19_HFD_WTvsKO	-0.030979622483412954	-0.002842681536634792	0.7696739382479697
ENSMUSG00000075514	Quagliarini19_NormalDiet	-0.4302684173979151	0.10005578981745661	0.7610357118013041
ENSMUSG00000075514	Quagliarini19_NormalDiet_WTvsKO	-0.24770457153880854	0.05684486635471509	0.48991912135357674
ENSMUSG00000075514	Stubblefield18	-0.36921740643782375	0.11175773900659533	-1.19777275952361
ENSMUSG00000075514	Weger18_Liver_F	0.1596370111494545	-0.042863311566661705	0.13268618947087923
ENSMUSG00000075514	Weger18_Liver_M	0.3946522896550047	-0.09566935011513	-0.41420743921391223
ENSMUSG00000075514	Weger20_Bmal1WT	-0.2484733935804295	0.05894178120134371	0.353512125395916
ENSMUSG00000075514	Weger20_CryWT	-0.007161034709364789	-0.0033157020542408846	0.36545066709251967
ENSMUSG00000075514	Weger20_HlfDbpTefWT	0.752005568419911	-0.20189003369785358	0.6031862765650424
ENSMUSG00000075514	Wu19	0.5000548735484088	-0.1047092356449915	-1.707457604112586
ENSMUSG00000075514	Xin21_Liver_NightFeed	-0.4016418224563717	0.10581541904906164	-0.17400181318877275
ENSMUSG00000075514	Yang16A_M	-0.14174179194395792	0.02707685275201235	0.6657311646754693
ENSMUSG00000075514	Yang16B_F	1.408875984626764	-0.36916982801770576	0.48814314511916346
ENSMUSG00000075514	Yang16B_M	0.22018563854482479	-0.06492361709008218	0.5955338964700827
ENSMUSG00000075514	Yang20	-0.40564050152501	0.09953594340973607	0.3462085272831956
ENSMUSG00000075514	Zhang14_RNAseq_Liver_M	0.018878631756055385	-0.01560907070184639	0.7652106720000383
ENSMUSG00000086657	Atger15_AdLib	0.07833691345264014	-0.15467334851838752	-0.34742330682797506
ENSMUSG00000086657	Atger15_NightFeed	-0.17472706178976907	-0.061475175884229495	-0.3903174262472378
ENSMUSG00000086657	Benegiamo18	-0.020389803586487853	-0.08884054349288262	-0.27969860281396175
ENSMUSG00000086657	Cajan16	0.8668030565373623	-0.24711455012558353	0.3539030969534773
ENSMUSG00000086657	Chaix19_AdLib_HFD	-0.03957016848241026	-0.0717275050197983	-0.25432801648101866
ENSMUSG00000086657	Chaix19_NightFeed_HFD	0.10425374793464164	-0.09359218831532763	-0.14062869204699263
ENSMUSG00000086657	Chen19	-0.06745849111284667	-0.1451857134826621	-0.4989021445200953
ENSMUSG00000086657	Du14	-0.23570919535505097	0.014543960729206114	-0.24716065207347154
ENSMUSG00000086657	Fader19	0.35031067167741015	-0.18545883250558995	-0.10295017166993951
ENSMUSG00000086657	Gaucher19_Chronic_Cntrl	-0.13450997206849738	0.044172130791921914	-0.038226897379063325
ENSMUSG00000086657	Guan20_Liver	0.5692817073311022	-0.2015787874812152	0.11953279049079304
ENSMUSG00000086657	Hidalgo19	1.134293970362536	-0.6215866028730277	-0.391814866713541
ENSMUSG00000086657	Hirako18	-0.01116758803975467	0.004093275001222154	-0.0021696124516526628
ENSMUSG00000086657	Kinouchi18_Liver	0.17015391833067708	-0.060051793398195955	0.036310720665700874
