gene	var	logAmp	phi	mesor
ENSMUSG00000075514	logAmp	2.954360732432623	-0.75869262661824	-0.06583600266231432
ENSMUSG00000075514	phi	-0.75869262661824	0.19576007144020915	-0.04365972572048976
ENSMUSG00000075514	mesor	-0.06583600266231432	-0.04365972572048976	4.323533867275607
ENSMUSG00000086657	logAmp	0.6310438857910425	-0.25074904937813863	0.05422280181073049
ENSMUSG00000086657	phi	-0.25074904937813863	0.17229047915238288	0.1864783405124539
ENSMUSG00000086657	mesor	0.05422280181073049	0.1864783405124539	0.6010819982968906
ENSMUSG00000097836	logAmp	3.7404805588928567	0.01749728771636346	0.16377229434118704
ENSMUSG00000097836	phi	0.01749728771636346	0.005201661789619124	0.04972427069797329
ENSMUSG00000097836	mesor	0.16377229434118704	0.04972427069797329	0.4772505927505548
ENSMUSG00000092131	logAmp	0.005917161811994395	-0.012592647493299238	0.030541748257982223
ENSMUSG00000092131	phi	-0.012592647493299238	0.026886819486870092	-0.06509818428303839
ENSMUSG00000092131	mesor	0.030541748257982223	-0.06509818428303839	0.1579554092484942
ENSMUSG00000086728	logAmp	9.917231149227053	0.5201586103483518	-0.6909710519514916
ENSMUSG00000086728	phi	0.5201586103483518	0.2983491837205149	-0.6820684675196392
ENSMUSG00000086728	mesor	-0.6909710519514916	-0.6820684675196392	1.5876772804462835
ENSMUSG00000086914	logAmp	0.005653716190021512	0.016865595016719425	-0.10593531113401113
ENSMUSG00000086914	phi	0.016865595016719425	0.05090873037692954	-0.3177431739847189
ENSMUSG00000086914	mesor	-0.10593531113401113	-0.3177431739847189	1.989945132119861
ENSMUSG00000089810	logAmp	51.10794391741116	-0.5808264047021175	-6.0408270985818495
ENSMUSG00000089810	phi	-0.5808264047021175	0.3693667489587969	-0.33597886622993883
ENSMUSG00000089810	mesor	-6.0408270985818495	-0.33597886622993883	3.8825427672017723
